File,Sentences (Total),Tokens (Total),Words (Total),Punc. Tokens (Total),Nouns (Total),Modified Nouns (Total),Modified Noun Ratio,Nominalizations (Total),Verbs (Total),Tensed Verb Ratio,Passives (Total),Passives/Verb,Tags (Total),Type/Token Ratio,Words/Sentence,Tokens/Word,Tokens/Sentence,ment,tions,ness,nesses,ments,ity,tion,ities,similarly,likewise,furthermore,also,namely,alternatively,additionally,further,moreover,for instance,for example,secondly,afterwards,thus,anyway,second,actually,lastly,conversely,yet,still,accordingly,next,thirdly,finally,therefore,instead,naturally,eventually,though,however,hence,anyhow,last,third,nevertheless,admittedly,so,firstly,otherwise,consequently,first,in fact,above all,as well,by comparison,by contrast,after all,in addition,in contrast,other hand,in reality,that is,in comparison,for instance,then again,in that case,as a result,all things considered,as a consequence
120-F14-6301746.tag.txt,40,1323,1223,100,346,54,0.156069364162,39,104,0.758620689655,34,0.326923076923,1321,0.313681027967,30.575,1.08176614881,33.075,0,1,0,0,0,8,27,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6424118.tag.txt,95,1654,1481,173,411,59,0.143552311436,55,158,0.810526315789,60,0.379746835443,1652,0.293833131802,15.5894736842,1.11681296421,17.4105263158,4,5,2,0,2,10,32,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
120-F14-6386953.tag.txt,75,1789,1612,177,516,62,0.12015503876,56,140,0.905263157895,43,0.307142857143,1787,0.291783119061,21.4933333333,1.10980148883,23.8533333333,8,11,1,0,1,3,29,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
120-F14-6366788.tag.txt,66,1875,1703,172,458,63,0.137554585153,63,168,0.758064516129,40,0.238095238095,1873,0.257066666667,25.803030303,1.1009982384,28.4090909091,11,9,1,0,0,9,32,1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
120-F14-6407208.tag.txt,94,1841,1651,190,565,80,0.141592920354,81,137,0.770642201835,41,0.299270072993,1839,0.256382400869,17.5638297872,1.11508176863,19.585106383,22,7,1,0,1,10,38,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120-F14-6389887.tag.txt,50,1335,1224,111,398,39,0.0979899497487,41,116,0.538922155689,37,0.318965517241,1333,0.270411985019,24.48,1.09068627451,26.7,9,1,0,0,0,5,23,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6336042.tag.txt,68,1923,1682,241,528,78,0.147727272727,47,147,0.887218045113,72,0.489795918367,1921,0.321892875715,24.7352941176,1.14328180737,28.2794117647,11,4,0,0,3,4,24,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
120-F14-6389898.tag.txt,44,1141,1010,131,292,45,0.154109589041,28,112,0.758620689655,17,0.151785714286,1139,0.35495179667,22.9545454545,1.1297029703,25.9318181818,12,2,1,0,0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
120-F14-6356309.tag.txt,72,1939,1767,172,540,69,0.127777777778,59,156,0.794392523364,50,0.320512820513,1937,0.271273852501,24.5416666667,1.0973401245,26.9305555556,6,4,2,0,4,6,31,6,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6412648.tag.txt,49,1132,1024,108,360,52,0.144444444444,25,87,0.822580645161,39,0.448275862069,1130,0.409010600707,20.8979591837,1.10546875,23.1020408163,3,3,2,0,1,3,11,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6343245.tag.txt,63,1480,1322,158,342,47,0.137426900585,41,166,0.904761904762,36,0.21686746988,1478,0.286486486486,20.9841269841,1.11951588502,23.4920634921,0,6,1,0,4,3,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
120-F14-6384223.tag.txt,49,1214,1082,132,343,38,0.110787172012,32,105,0.735294117647,31,0.295238095238,1212,0.351729818781,22.0816326531,1.12199630314,24.7755102041,0,10,1,0,1,7,13,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120-F14-6410851.tag.txt,67,1732,1547,185,505,71,0.140594059406,64,128,0.867346938776,35,0.2734375,1730,0.284642032333,23.0895522388,1.11958629606,25.8507462687,9,8,2,0,3,8,34,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6409460.tag.txt,48,1358,1211,147,367,31,0.0844686648501,36,118,0.746987951807,43,0.364406779661,1356,0.338733431517,25.2291666667,1.12138728324,28.2916666667,4,3,3,0,1,3,20,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6392278.tag.txt,61,1394,1240,154,364,27,0.0741758241758,29,125,0.845238095238,51,0.408,1392,0.313486370158,20.3278688525,1.12419354839,22.8524590164,1,4,0,0,0,10,11,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6402394.tag.txt,41,1124,1005,119,286,45,0.157342657343,43,107,0.789473684211,37,0.345794392523,1122,0.375444839858,24.512195122,1.1184079602,27.4146341463,2,7,0,1,0,4,28,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-F14-6382653.tag.txt,52,1172,1059,113,262,48,0.18320610687,33,103,0.692913385827,34,0.330097087379,1170,0.336177474403,20.3653846154,1.10670443815,22.5384615385,9,1,0,0,2,0,21,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary,1103,26835,24050,2785,7279,971,0.13433697488536667,813,2275,0.7846800419959444,722,0.31882472409288887,26799,0.31412057274322225,22.373156293666664,1.1161160740799998,24.93959524708333,115,89,17,1,23,106,435,27,1,0,0,73,0,0,0,7,0,1,1,2,0,3,0,5,8,4,0,12,17,0,7,0,4,6,11,1,1,6,20,0,0,4,0,0,0,34,0,1,1,12,2,0,13,0,0,0,2,0,1,4,16,0,1,1,0,1,0,0
